country,Code,percent
Afghanistan,AFG,16.830856836
Albania,ALB,10.8771176907
Algeria,DZA,14.5480154061
American Samoa,ASM,10.8680774975
Andean Latin America,NA,12.4034599669
Andorra,AND,14.7179040524
Angola,AGO,12.398913329200001
Antigua and Barbuda,ATG,13.2382813283
Argentina,ARG,15.7382665508
Armenia,ARM,10.6976474732
Australasia,NA,18.4344388084
Australia,AUS,18.3812834362
Austria,AUT,14.3621360785
Azerbaijan,AZE,10.458851198
Bahamas,BHS,13.354575487
Bahrain,BHR,14.1241709851
Bangladesh,BGD,12.4596799748
Barbados,BRB,13.5736469102
Belarus,BLR,12.1219690929
Belgium,BEL,15.0180942245
Belize,BLZ,13.434708123299998
Benin,BEN,11.8056244083
Bermuda,BMU,13.7459465758
Bhutan,BTN,11.893735802
Bolivia,BOL,12.763132273899998
Bosnia and Herzegovina,BIH,10.9893574544
Botswana,BWA,12.568166008600002
Brazil,BRA,14.512849458900002
Brunei,BRN,11.4519982632
Bulgaria,BGR,11.2619215781
Burkina Faso,BFA,11.8687408697
Burundi,BDI,12.9042243661
Cambodia,KHM,11.4996306561
Cameroon,CMR,11.8177970549
Canada,CAN,15.508528659
Cape Verde,CPV,12.3862865773
Caribbean,NA,13.6808970984
Central African Republic,CAF,12.6971625873
Central Asia,NA,10.8315213575
Central Europe,NA,11.0953181147
"Central Europe, Eastern Europe, and Central Asia",NA,11.4055063317
Central Latin America,NA,10.7440370701
Central Sub-Saharan Africa,NA,12.4668321131
Chad,TCD,12.0658763734
Chile,CHL,16.0754862806
China,CHN,11.3965006176
Colombia,COL,10.0351287835
Comoros,COM,12.3157770151
Congo,COG,12.285289627
Costa Rica,CRI,11.057277195
Cote d'Ivoire,CIV,11.502833754
Croatia,HRV,11.4643839193
Cuba,CUB,14.1043897633
Cyprus,CYP,14.248145311900002
Czechia,CZE,11.3507025196
Democratic Republic of Congo,COD,12.4931858515
Denmark,DNK,14.269327961700002
Djibouti,DJI,12.5763148412
Dominica,DMA,13.2793101046
Dominican Republic,DOM,13.547632386
East Asia,NA,11.4065490096
Eastern Europe,NA,11.8431072975
Eastern Sub-Saharan Africa,NA,12.6830535107
Ecuador,ECU,12.8031613894
Egypt,EGY,14.5708048372
El Salvador,SLV,11.0363547107
England,NA,14.5955015989
Equatorial Guinea,GNQ,12.4991770303
Eritrea,ERI,12.8598253982
Estonia,EST,12.0396861009
Eswatini,SWZ,12.553792624900002
Ethiopia,ETH,12.8383497914
Fiji,FJI,11.1319887127
Finland,FIN,14.8902418052
France,FRA,16.361245236
Gabon,GAB,12.3060472847
Gambia,GMB,12.2680581749
Georgia,GEO,10.7663552529
Germany,DEU,15.1776062466
Ghana,GHA,11.5170939412
Greece,GRC,15.517001365
Greenland,GRL,17.697975108799998
Grenada,GRD,13.3984422109
Guam,GUM,11.3904997594
Guatemala,GTM,11.1788642304
Guinea,GIN,11.6485651948
Guinea-Bissau,GNB,11.7322147135
Guyana,GUY,14.5229755403
Haiti,HTI,13.4740514163
High SDI,NA,14.9581378096
High-income,NA,15.5569158954
High-income Asia Pacific,NA,12.1740110045
High-middle SDI,NA,12.6483542498
Honduras,HND,10.7116693763
Hungary,HUN,11.4123956502
Iceland,ISL,14.212627927499998
India,IND,14.5292316479
Indonesia,IDN,10.6354836095
Iran,IRN,17.7287658901
Iraq,IRQ,13.6817670706
Ireland,IRL,15.6060996027
Israel,ISR,12.716614730600002
Italy,ITA,14.8899699846
Jamaica,JAM,13.2697158997
Japan,JPN,12.3609159143
Jordan,JOR,14.3374578074
Kazakhstan,KAZ,11.2377359033
Kenya,KEN,12.3249991188
Kiribati,KIR,11.3679480118
Kuwait,KWT,14.1380800547
Kyrgyzstan,KGZ,11.0068138706
Laos,LAO,12.0144683795
Latin America and Caribbean,NA,12.607843483
Latvia,LVA,11.6333516914
Lebanon,LBN,15.9457488995
Lesotho,LSO,14.078643862099998
Liberia,LBR,12.054468446
Libya,LBY,14.5869455142
Lithuania,LTU,12.2014310998
Low SDI,NA,13.5897536196
Low-middle SDI,NA,13.287156504
Luxembourg,LUX,14.6309888939
Madagascar,MDG,12.5942648913
Malawi,MWI,12.3246556389
Malaysia,MYS,12.1506963877
Maldives,MDV,11.0668351758
Mali,MLI,11.2163602981
Malta,MLT,14.3572480904
Marshall Islands,MHL,11.1562201134
Mauritania,MRT,11.3168582309
Mauritius,MUS,11.330211365
Mexico,MEX,10.8697103818
Micronesia (country),FSM,11.2061317406
Middle SDI,NA,11.862548905
Moldova,MDA,11.5677789844
Mongolia,MNG,11.237325268
Montenegro,MNE,11.2256978346
Morocco,MAR,16.180891358
Mozambique,MOZ,12.739506217
Myanmar,MMR,10.5101784292
Namibia,"NAM",12.1071119603
Nepal,NPL,12.801883147599998
Netherlands,NLD,16.0445936088
New Zealand,NZL,18.7124207228
Nicaragua,NIC,10.9720888011
Niger,NER,12.0455213498
Nigeria,NGA,11.9485055799
North Africa and Middle East,NA,15.2508310797
North America,NA,17.1638880406
North Korea,PRK,11.8499929531
North Macedonia,MKD,11.0017653831
Northern Ireland,NA,17.262592929900002
Northern Mariana Islands,MNP,11.035894073
Norway,NOR,16.1195478965
Oceania,NA,11.280698416
Oman,OMN,13.6324606456
Pakistan,PAK,11.9676219096
Palestine,PSE,15.9066556886
Panama,PAN,10.7820480182
Papua New Guinea,PNG,11.3045826928
Paraguay,PRY,14.1922848005
Peru,PER,12.097070366
Philippines,PHL,10.8261372139
Poland,POL,10.983524423
Portugal,PRT,15.3111569041
Puerto Rico,PRI,13.5955936631
Qatar,QAT,13.5942830494
Romania,ROU,10.8276013187
Russia,RUS,11.7366593238
Rwanda,RWA,12.7185847636
Saint Lucia,LCA,13.513722414000002
Saint Vincent and the Grenadines,VCT,13.4264459039
Samoa,WSM,10.9851264547
Sao Tome and Principe,STP,11.3518264042
Saudi Arabia,SAU,13.6251466852
Scotland,NA,14.308212951999998
Senegal,SEN,11.4876396426
Serbia,SRB,11.2066544713
Seychelles,SYC,10.7950728201
Sierra Leone,SLE,11.733323189
Singapore,SGP,12.4410589584
Slovakia,SVK,11.0868433214
Slovenia,SVN,11.5639021525
Solomon Islands,SLB,11.3679379993
Somalia,SOM,13.0370049424
South Africa,ZAF,12.7783935594
South Asia,NA,13.9999196067
South Korea,KOR,11.8085065171
South Sudan,SSD,12.346421129
Southeast Asia,NA,10.7738623941
"Southeast Asia, East Asia, and Oceania",NA,11.1957139971
Southern Latin America,NA,15.8333348889
Southern Sub-Saharan Africa,NA,12.581329192999998
Spain,ESP,16.1766418629
Sri Lanka,LKA,11.4830859386
Sub-Saharan Africa,NA,12.2766203746
Sudan,SDN,16.0817146194
Suriname,SUR,14.3963693666
Sweden,SWE,15.5630025941
Switzerland,CHE,14.8574804285
Syria,SYR,14.8158974468
Taiwan,TWN,11.5221722912
Tajikistan,TJK,10.6782964983
Tanzania,TZA,12.3907610146
Thailand,THA,11.7816199458
Timor,TLS,11.6274882427
Togo,TGO,11.7882665839
Tonga,TON,10.9618257684
Trinidad and Tobago,TTO,14.028433990700002
Tropical Latin America,NA,14.5025898303
Tunisia,TUN,15.299520394999998
Turkey,TUR,14.3051507066
Turkmenistan,TKM,10.6686793052
Uganda,UGA,13.44860807
Ukraine,UKR,12.1247130591
United Arab Emirates,ARE,12.2909369327
United Kingdom,GBR,14.649797989
United States,USA,17.3435577511
United States Virgin Islands,VIR,13.814139505699998
Uruguay,URY,15.7733780918
Uzbekistan,UZB,10.7308862779
Vanuatu,VUT,11.1935211656
Venezuela,VEN,11.1100486213
Vietnam,VNM,9.71582269832
Wales,NA,14.5459155665
Western Europe,NA,15.3060390637
Western Sub-Saharan Africa,NA,11.8118729709
World,OWID_WRL,12.9384901991
Yemen,YEM,15.922114141400002
Zambia,ZMB,12.2992138642
Zimbabwe,ZWE,11.6203670636
